"355386.41005395964","5571957.099542558","5094653.6900104815"
"587344.4602715273","5306303.726994641","5350391.891324927"
"817357.9378425494","5023016.929335022","5588364.655846864"
"1044662.7529320786","4723037.247946514","5807781.045311021"
"1268503.8004094146","4407360.721496926","6007911.772975372"
"1488137.474215416","4077035.581374847","6188091.641511052"
"1702834.14498714","3733158.7707426497","6347721.768548139"
"1911880.5925449159","3376872.2986021014","6486271.592022465"
"2114582.384967218","3009359.440878062","6603280.648189749"
"2310266.196129471","2631840.801098989","6698360.115926014"
"2498282.053764139","2245570.2437852453","6771194.12171513"
"2678005.5103107616","1851830.7141459375","6821540.8005327815"
"2848839.729065861","1451929.9581285273","6849233.108668357"
"3010217.4784130678","1047196.1572610274","6854179.385379105"
"3161603.027212904","638973.4930714783","6836363.661141524"
"3302493.934758517","228617.65616163966","6795845.711149297"
"3432422.729057138","-182508.68475045066","6732760.8536025975"
"3550958.4675762574","-593040.4383229365","6647319.493235655"
"3657708.1749967337","-1001614.6549976083","6539806.411435076"
"3752318.1529413173","-1406875.0846372223","6410579.805206243"
"3834475.1570941973","-1807476.7117019184","6260070.078145601"
"3903907.4375939625","-2202090.252328466","6088778.3874686"
"3960385.639066374","-2589406.597790891","5897274.95202277"
"4003723.5571631957","-2968141.188996052","5686197.127078605"
"4033778.7489862423","-3337038.3069025325","5456247.252534288"
"4050452.995300202","-3694875.264045137","5208190.281989266"
"4053692.6129709934","-4040466.482699072","4942851.200933449"
"4043488.6166062644","-4372667.445626482","4661112.243058743"
"4019876.728918759","-4690378.505811273","4363909.914425277"
"3982937.239879142","-4992548.542104567","4052231.8359022713"
"3932794.7152702557","-5278178.44827008","3727113.414949882"
"3869617.555797025","-5546324.443533695","3389634.358411117"
"3793617.4084431324","-5796101.193401807","3040915.038539018"
"3705048.4322947175","-6026684.7302156715","2682112.7249917537"
"3604206.421570301","-6237315.163650263","2314417.6959848437"
"3491427.7891028533","-6427299.172143308","1939049.2421934307"
"3367088.41401206","-6596012.267048894","1557251.5773475117"
"3231602.3577804356","-6742900.822147218","1170289.6697572055"
"3085420.4534039735","-6867483.862003087","779445.0092435398"
"2929028.772724801","-6969354.603547574","386011.3241315733"
"2762946.9774677902","-7048181.746154922","-8709.73691288447"
"2587726.5598942265","-7103710.506397042","-403412.9433542991"
"2403948.9793514377","-7135763.394576316","-796793.8267067815"
"2212223.7013370395","-7144240.731059971","-1187553.0150876995"
"2013186.1460085385","-7129120.901362257","-1574400.5436918715"
"1807495.5533530486","-7090460.349839892","-1956060.126627086"
"1595832.7724864401","-7028393.312778233","-2331273.375758676"
"1378897.9827763904","-6943131.292546511","-2698803.95246876"
"1157408.3546785128","-6834962.27538692","-3057441.6385427536"
"932095.6583391257","-6704249.6962709585","-3406006.3127496582"
"703703.828151934","-6551431.155103925","-3743351.8200814887"
"472986.4915590629","-6377016.8893821575","-4068369.7210583"
"240704.47045959497","-6181588.009204393","-4379992.908986356"
"7623.263631390375","-5965794.501306317","-4677199.083575491"
"-225489.4814151045","-5730353.009523239","-4959014.069874474"
"-457866.49874855304","-5476044.39978817","-5224514.9720682185"
